id,title,description,poster_pre_url,poster_url,backdrop_url,rate
1,Представление,"Склонный к психопатии, а заодно артистическим и аристократическим манерам гангстер Чаз изрядно досаждает своим нравом криминальным боссам. Сообразив, что дела его могут стать совсем плохи, Чаз решает спрятаться, а потом и вовсе сбежать из Англии. Скрывается он в доме рок-звезды Тёрнера, отшельника, наслаждающегося наркотиками, да обществом бисексуальных подруг – эффектной Фарбер и андрогинной Люси. В общем, мир «секса, наркотиков и рок-н-ролла»...",https://image.openmoviedb.com/kinopoisk-images/1599028/2c874a1b-a8bd-41de-9883-18fe711d5d02/x1000,https://image.openmoviedb.com/kinopoisk-images/1599028/2c874a1b-a8bd-41de-9883-18fe711d5d02/orig,"",6.763999938964844
2,Филадельфийская история,"Холодная красавица миссис Трейси разведена и готовится вновь выйти замуж за Джорджа, управляющего нефтяной компанией ее отца. Казалось бы, сомнений нет, но вдруг накануне торжества неожиданно появляется ее бывший муж Декстер в сопровождении двух корреспондентов - симпатичного молодого человека по имени Коннор и мисс Имбири - которые должны осветить в желтой прессе это светское событие.",https://image.openmoviedb.com/kinopoisk-images/4483445/441580a0-289d-419e-acc0-ebd2f436d1b1/x1000,https://image.openmoviedb.com/kinopoisk-images/4483445/441580a0-289d-419e-acc0-ebd2f436d1b1/orig,https://image.openmoviedb.com/kinopoisk-ott-images/1648503/2a00000190d9bdb1480da1d63b8a2f307f91/orig,7.679500102996826
3,Китайская история призраков,"Странствующий ученый Лин забредает на ночь глядя в волшебный лес, где встречает девушку-привидение по имени Сиан. Мимолетная встреча становится началом бурного романа, но у Сиан есть злобная наставница, которая не одобряет романов между людьми и призраками. Даже защитник Лина, отважный даос, с которым юноша познакомился по дороге, хоть и сочувствует влюбленным, также считает, что их любовь обречена.",https://image.openmoviedb.com/kinopoisk-images/1704946/63b3ba36-8f58-4d3e-b0e2-ac08f5860111/x1000,https://image.openmoviedb.com/kinopoisk-images/1704946/63b3ba36-8f58-4d3e-b0e2-ac08f5860111/orig,"",7.170499801635742
4,Город бога,"Город Бога — самая опасная фавела Рио-де-Жанейро, и именно здесь растут трое детей: Ракета, Малыш Фишка и Бенни. Поначалу они только наблюдают, как другие подростки грабят мотели и мелкие лавки, но круговорот насилия затягивает и их. Фишка — теперь Малыш Зе, главный наркоторговец и гроза всего района. Бенни — его лучший друг и правая рука, но его тяготит криминальный образ жизни. И только Ракете удается оставаться в стороне. Он мечтает стать фотографом и становится свидетелем и собирателем хроники гангстерских разборок, утопивших Город Бога в крови.",https://image.openmoviedb.com/kinopoisk-images/1599028/253edce8-cf8c-4045-a40b-81fc19374b00/x1000,https://image.openmoviedb.com/kinopoisk-images/1599028/253edce8-cf8c-4045-a40b-81fc19374b00/orig,https://image.openmoviedb.com/kinopoisk-ott-images/374297/2a000001634a9ce1e4ab9716d88f3f3cbb8e/orig,8.306499481201172
5,Маленький Цезарь,"Мелкий преступник Цезарь Энрико Банделло, известный как Рико, и его друг Джо Массара переезжают в Чикаго в поисках удачи. Они присоединяются к банде Сэма Веттори, но Джо, мечтающий стать танцором, больше заинтересован в славе и женщинах. Он знакомится с Ольгой и отходит от дел банды. Тем временем Рико быстро встаёт во главе организации Сэма и занимает место в верхах чикагского преступного синдиката. Одновременно в нём растёт уверенность, что однажды Джо предаст его.",https://image.openmoviedb.com/kinopoisk-images/6201401/4f2da33e-0406-41ff-9de0-50808a2d529b/x1000,https://image.openmoviedb.com/kinopoisk-images/6201401/4f2da33e-0406-41ff-9de0-50808a2d529b/orig,"",6.928500175476074
6,Отель Терминус: Время и жизнь Клауса Барби,"Документальный фильм о Клаусе Барби, известном также как «лионский мясник», начальнике гестапо в Лионе. О его жизни до и после войны.",https://image.openmoviedb.com/kinopoisk-images/1900788/1d81a35c-00db-4691-966c-6ad71e9bb393/x1000,https://image.openmoviedb.com/kinopoisk-images/1900788/1d81a35c-00db-4691-966c-6ad71e9bb393/orig,"",6.861499786376953
7,Великая иллюзия,"Первая мировая война. Самолет французских летчиков Морешаля и Больде сбит немецким асом фон Рауффенштайном, но оба пилота остались живы и попали в лагерь для военнопленных. Там же находятся несколько британских офицеров, с которыми новички объединяются в работе над тоннелем для побега.
После победы французов на Западном фронте Морешаля, Болдье и остальных французских военнопленных переводят в другую тюрьму, где комендантом назначен их «старый знакомый» фон Рауффенштайн. Комендант тепло встречает французов, замечая, что из «его» тюрьмы побег невозможен...",https://image.openmoviedb.com/kinopoisk-images/10893610/a3dd386e-51df-48f8-bb31-7ab169e35f0f/x1000,https://image.openmoviedb.com/kinopoisk-images/10893610/a3dd386e-51df-48f8-bb31-7ab169e35f0f/orig,https://image.openmoviedb.com/kinopoisk-ott-images/224348/2a00000177162a539c5cc70fb8c28f1164ef/orig,7.949000358581543
8,Убийцы леди,"Профессор музыки мистер Маркус снял комнату в доме старенькой миссис Луизы Александры Уилберфорс. Старушке и в голову не могло прийти, что липовый профессор не знает ни одной ноты, а над ней самой нависла опасность.",https://image.openmoviedb.com/kinopoisk-images/1599028/d853b34f-e276-4d28-add8-7305fe8b65e8/x1000,https://image.openmoviedb.com/kinopoisk-images/1599028/d853b34f-e276-4d28-add8-7305fe8b65e8/orig,"",7.349999904632568
9,Вестсайдская история,"Сюжет построен на бессмертной истории Ромео и Джульетты, развернутой на новый лад. На улицах Манхэттена ведут беспощадную войну за жизненное пространство две уличных банды, Джеты и Акулы. Тони – член банды Джетов и лучший друг главаря Риффа.

Смуглянка Мария - сестра предводителя пуэрториканцев Акул. Тони и Мария влюбляются друг в друга вопреки ненависти друзей и родственников, и их любовь заканчивается трагически...",https://image.openmoviedb.com/kinopoisk-images/1773646/5989d773-1d64-4381-a6b8-97c9202ff773/x1000,https://image.openmoviedb.com/kinopoisk-images/1773646/5989d773-1d64-4381-a6b8-97c9202ff773/orig,"",7.418000221252441
10,Розовые фламинго,"Гротескная Бэбс Джонсон живёт на стоянке трейлеров со своим неполноценным сыном Крэкерсом и отвратительной Мамой Эди, помешанной на яйцах. Все согласны, что Бэбс — самая «грязная тварь в этом мире»; её статус вызывает зависть торговцев детьми на чёрном рынке. Они дают обет, что будут еще «грязнее», чем их соперница. Начинается соревнование, включающее поджог, скотоложество, каннибализм, кастрацию и копрофагию.",https://image.openmoviedb.com/kinopoisk-images/1600647/be5f2fd8-0c15-448d-aaf2-616796e5e24c/x1000,https://image.openmoviedb.com/kinopoisk-images/1600647/be5f2fd8-0c15-448d-aaf2-616796e5e24c/orig,"",5.859999656677246
11,Зловещие мертвецы,"Молодые люди снимают на выходные загородный дом. Находится он в непролазной глуши, выглядит мрачно, а кругом — ни души. Раньше здесь жил археолог, после которого в подвале остались различные мистические артефакты. Например, книга мертвых, предметы неизвестных магических культов и магнитофон с записью заклинания на непонятном языке. Ребята запись прослушали и с наступлением темноты им предстоит встретиться с духами, которых они разбудили.",https://image.openmoviedb.com/kinopoisk-images/1946459/a5150949-0074-40b8-9340-d47037667e9e/x1000,https://image.openmoviedb.com/kinopoisk-images/1946459/a5150949-0074-40b8-9340-d47037667e9e/orig,"",7.302999973297119
12,Синий бумажный змей,Фильм показывает Китай 50-60-х годов двадцатого столетия глазами ребенка.,https://image.openmoviedb.com/kinopoisk-images/1704946/1798c6e1-6883-40ce-b49e-31020b55fb65/x1000,https://image.openmoviedb.com/kinopoisk-images/1704946/1798c6e1-6883-40ce-b49e-31020b55fb65/orig,"",6.621999740600586
13,"До свидания, дети","Вторая мировая война, Франция оккупирована нацистами. Настоятель католического колледжа для мальчиков решается дать приют нескольким еврейским детям. Главный герой, мальчик-француз по имени Жюльен Кантен, подружился с одним из них. И когда гестапо по чьей-то наводке обнаруживает прегрешение настоятеля, и его вместе с еврейскими детьми увозят на верную смерть, это становится для Жюльена страшным ударом на всю жизнь.",https://image.openmoviedb.com/kinopoisk-images/1599028/cfb36721-ae7d-4306-8c6e-fcfa0750ca6d/x1000,https://image.openmoviedb.com/kinopoisk-images/1599028/cfb36721-ae7d-4306-8c6e-fcfa0750ca6d/orig,"",7.849999904632568
14,Невеста Франкенштейна,Отвергнутый всеми монстр ищет себе пару. Доктор Франкенштейн приходит на помощь и создает заветную подругу.,https://image.openmoviedb.com/kinopoisk-images/1946459/b96706c3-9d22-4a9b-8ef0-edfc0a884b82/x1000,https://image.openmoviedb.com/kinopoisk-images/1946459/b96706c3-9d22-4a9b-8ef0-edfc0a884b82/orig,https://image.openmoviedb.com/kinopoisk-ott-images/200035/2a000001930ab011ce9b7bb69f3c40fff89d/orig,7.461000442504883
15,Токийская повесть,"Пожилая супружеская пара едет из провинции в Токио навестить детей: сына, ставшего доктором, и дочь, открывшую салон красоты. Дети слишком заняты, поэтому отсылают родителей на курорт. После бессонной ночи на шумном курорте родители возвращаются в Токио. Перед тем как уехать, мать проводит ночь со вдовой другого сына, а отец встречается со своими старыми собутыльниками. Выходит так, что только вдова сына оказывает старикам достойный прием с любовью и вниманием, которые им так нужны.",https://image.openmoviedb.com/kinopoisk-images/1773646/b33042e3-4411-4c9c-9b22-b4ab2792103b/x1000,https://image.openmoviedb.com/kinopoisk-images/1773646/b33042e3-4411-4c9c-9b22-b4ab2792103b/orig,"",8.043000221252441
23,Это – Spinal Tap,"Несколько месяцев из жизни стареющей британской рок-группы Spinal Tap, постепенно скатывающейся с высот былой славы на самое дно музыкального мира во время прощального турне по Соединенным Штатам.",https://image.openmoviedb.com/kinopoisk-images/1599028/dd2d38e0-511c-432b-903f-623a172351ae/x1000,https://image.openmoviedb.com/kinopoisk-images/1599028/dd2d38e0-511c-432b-903f-623a172351ae/orig,"",7.375
16,Третий человек,"Холли Мартинс, автор бульварных романов, в надежде получить работу приезжает в послевоенную Вену по приглашению старинного приятеля Гарри Лайма. Увы, буквально накануне тот погиб в результате несчастного случая.

По мнению полицейского Кэллоуэя, Лайм был темной личностью, рэкетиром и спекулянтом. Мартинс решает провести собственное расследование, чтобы снять с друга обвинения в преступлениях, которые, как он уверен, тот не совершал.

Более того, Мартинс уверен, что его друг был убит, а его убийца где-то рядом...",https://image.openmoviedb.com/kinopoisk-images/10703859/19e493c3-990d-458e-aeba-022bee905340/x1000,https://image.openmoviedb.com/kinopoisk-images/10703859/19e493c3-990d-458e-aeba-022bee905340/orig,https://image.openmoviedb.com/kinopoisk-ott-images/1648503/2a00000190e43bc0dee2e86d83f60641170a/orig,7.853000164031982
17,"Слишком рано, слишком поздно","Эта картина исследует изменения отношения людей к земле и обществу во Франции и Египте. Формально и структурно повествование опирается на два текста: письмо, отправленное Фридрихом Энгельсом своему последователю Карлу Каутскому, и описание классовой борьбы египетского интеллектуала Махмуда Хуссейна в Египте. Оба текста посвящены одной проблеме – отношению людей к земле. Штрауб и Гюилье засняли разные места, указанные в данных текстах – в письме Энгельса упоминается Мотрефф, Лион и Харвиль, а Хуссейн описывает окрестности местечка Негуиб. Съемка сопровождается чтением выдержек из трудов двух авторов. В результате авторы не только проиллюстрировали историю марксистской мысли, но и дали развернутый комментарий состояния французского и египетского общества.",https://image.openmoviedb.com/kinopoisk-images/1600647/b1fc76f1-f755-445f-a938-93a58890da24/x1000,https://image.openmoviedb.com/kinopoisk-images/1600647/b1fc76f1-f755-445f-a938-93a58890da24/orig,"",5.598999977111816
18,Самородок,"Фильм рассказывает о судьбе знаменитого бейсболиста Роя Хоббса. В возрасте 19 лет он отправляется в Чикаго, но несчастный случай мешает ему начать карьеру, и он вынужден оставаться в тени. Через пятнадцать лет, в 1939 году, Рой присоединяется к  самой худшей команде - «Нью-Йоркским Рыцарям» и практически в одиночку выводит команду из череды поражений…",https://image.openmoviedb.com/kinopoisk-images/1773646/e2ca5b94-d8ba-4991-a502-df9fcfc0ca85/x1000,https://image.openmoviedb.com/kinopoisk-images/1773646/e2ca5b94-d8ba-4991-a502-df9fcfc0ca85/orig,"",7.180000305175781
19,Сверкающие седла,"Железная дорога должна пройти через городок Рок Ридж. Но как выгнать местных жителей из города, если хочешь украсть у них землю? Заслать самую отчаянную банду головорезов… и назначить нового чернокожего шерифа, который протянет не больше суток.",https://image.openmoviedb.com/kinopoisk-images/1704946/2f641a9a-114e-4fd4-be47-14d284b53d47/x1000,https://image.openmoviedb.com/kinopoisk-images/1704946/2f641a9a-114e-4fd4-be47-14d284b53d47/orig,"",7.211999893188477
20,Суспирия,"Юная американка Сюзи приезжает в Германию обучаться мастерству танца в престижной мюнхенской балетной школе. В ночь приезда её туда почему-то не пустили, но она видела, как из здания выбежала девушка, которая позже в ту же ночь была жестоко убита. На утро недоразумение разрешится, Сюзи примут, и она приступит к занятиям. Девушке придётся жить в пансионате при школе, на ночь её будут поить вином с подмешанным снотворным, но Сюзи всё равно почувствует витающую в воздухе школы угрозу и захочет выяснить, что ей угрожает.",https://image.openmoviedb.com/kinopoisk-images/1946459/8590dd0d-6f7a-49c0-8981-2fe523b74db1/x1000,https://image.openmoviedb.com/kinopoisk-images/1946459/8590dd0d-6f7a-49c0-8981-2fe523b74db1/orig,"",7.143500328063965
21,Тишина вокруг Кристине М.,"История о трёх совершенно незнакомых друг с другом женщинах, которые по каким-то необъяснимым причинам объединяются, чтобы безжалостно отправить на тот свет мужчину-владельца магазина, обвинившего одну из них в мелком воровстве.",https://image.openmoviedb.com/kinopoisk-images/1599028/ba7975ce-63d3-4a81-bb04-180ee6955d58/x1000,https://image.openmoviedb.com/kinopoisk-images/1599028/ba7975ce-63d3-4a81-bb04-180ee6955d58/orig,"",6.135499954223633
22,Иезавель,"1852-й год. Новый Орлеан. Великосветская красавица Джули Марсден готовится выйти замуж за молодого политика и банкира Престона Дилларда. Однако, поругавшись с ним, Джулии назло своему жениху появляется в красном платье на ежегодном, престижном «Олимпийском» балу. Поскольку незамужние девушки в свет должны выходить только в белом, светское общество шокировано выходкой Джули. Престон расторгает помолвку и уезжает на Север. Спустя год, он возвращается в Нью-Орлеан с молодой женой. В городе бушует эпидемия желтой лихорадки, общество парализовано паникой и страхом, а у Джули появляется шанс доказать Престону свою любовь…",https://image.openmoviedb.com/kinopoisk-images/1946459/bc1d5144-acd9-4e50-90b8-2b044553025d/x1000,https://image.openmoviedb.com/kinopoisk-images/1946459/bc1d5144-acd9-4e50-90b8-2b044553025d/orig,"",7.326000213623047
24,Почтальон всегда звонит дважды,"Безработный Фрэнк Чемберс, добирающийся автостопом из Сан-Франциско в Сан-Диего в поисках работы, заходит перекусить в придорожную забегаловку неподалёку от Лос-Анджелеса. Её владелец Ник Смит предлагает Фрэнку работать у него. Фрэнку не очень нравится это место, но увидев Кору, молодую привлекательную жену Ника, он влюбляется и остаётся работать за небольшие деньги и бесплатную комнату, в которой вскоре появляется Кора. Она признаётся, что не любит пожилого мужа, но вышла за него из-за денег, чтобы вырваться из своей убогой жизни. Кора уговаривает любовника на убийство супруга в надежде завладеть его деньгами и всем имуществом.",https://image.openmoviedb.com/kinopoisk-images/1946459/a2571399-3ff1-4245-89ec-ff82a4408df9/x1000,https://image.openmoviedb.com/kinopoisk-images/1946459/a2571399-3ff1-4245-89ec-ff82a4408df9/orig,https://image.openmoviedb.com/kinopoisk-ott-images/1531675/2a000001771644111b508641c9dbf1ad3599/orig,7.352499961853027
25,Ведьмы,"Издревле люди пытались объяснить непонятные им явления вмешательством злых и добрых высших сил, так появилась вера людей в бога и дьявола. В Средние века массовое помешательство на охоте на ведьм достигло апогея — быть старой и страшной или молодой и красивой считалось достаточным основанием для обвинения в колдовстве и сговоре с Дьяволом.",https://image.openmoviedb.com/kinopoisk-images/1777765/aee65532-b990-431a-9b71-ee23c407ffcc/x1000,https://image.openmoviedb.com/kinopoisk-images/1777765/aee65532-b990-431a-9b71-ee23c407ffcc/orig,https://image.openmoviedb.com/kinopoisk-ott-images/1534341/2a00000176895adc46e40b3337f73a13d4f7/orig,7.533999919891357
